bench,variant,size,run,us,compressed_len,ret
bench_snappy_compress,mem0,1,0,38.808,3,0
bench_snappy_compress,mem0,1,1,33.472,3,0
bench_snappy_compress,mem0,1,2,32.831,3,0
bench_snappy_compress,mem0,1,3,32.833,3,0
bench_snappy_compress,mem0,1,4,32.306,3,0
bench_snappy_compress,mem0,2,0,34.930,4,0
bench_snappy_compress,mem0,2,1,33.507,4,0
bench_snappy_compress,mem0,2,2,31.771,4,0
bench_snappy_compress,mem0,2,3,32.583,4,0
bench_snappy_compress,mem0,2,4,31.836,4,0
bench_snappy_compress,mem0,4,0,32.181,6,0
bench_snappy_compress,mem0,4,1,31.829,6,0
bench_snappy_compress,mem0,4,2,31.805,6,0
bench_snappy_compress,mem0,4,3,31.844,6,0
bench_snappy_compress,mem0,4,4,32.544,6,0
bench_snappy_compress,mem0,8,0,32.010,10,0
bench_snappy_compress,mem0,8,1,32.367,10,0
bench_snappy_compress,mem0,8,2,31.626,10,0
bench_snappy_compress,mem0,8,3,32.140,10,0
bench_snappy_compress,mem0,8,4,32.276,10,0
bench_snappy_compress,mem0,16,0,32.505,18,0
bench_snappy_compress,mem0,16,1,32.609,18,0
bench_snappy_compress,mem0,16,2,32.643,18,0
bench_snappy_compress,mem0,16,3,32.421,18,0
bench_snappy_compress,mem0,16,4,32.037,18,0
bench_snappy_compress,mem0,32,0,32.434,34,0
bench_snappy_compress,mem0,32,1,32.581,34,0
bench_snappy_compress,mem0,32,2,33.360,34,0
bench_snappy_compress,mem0,32,3,33.168,34,0
bench_snappy_compress,mem0,32,4,33.559,34,0
bench_snappy_compress,mem0,64,0,32.689,67,0
bench_snappy_compress,mem0,64,1,33.597,67,0
bench_snappy_compress,mem0,64,2,33.239,67,0
bench_snappy_compress,mem0,64,3,32.993,67,0
bench_snappy_compress,mem0,64,4,33.375,67,0
bench_snappy_compress,mem0,128,0,33.975,132,0
bench_snappy_compress,mem0,128,1,33.343,132,0
bench_snappy_compress,mem0,128,2,33.695,132,0
bench_snappy_compress,mem0,128,3,34.165,132,0
bench_snappy_compress,mem0,128,4,34.867,132,0
bench_snappy_compress,mem0,256,0,35.789,260,0
bench_snappy_compress,mem0,256,1,35.154,260,0
bench_snappy_compress,mem0,256,2,34.524,260,0
bench_snappy_compress,mem0,256,3,35.226,260,0
bench_snappy_compress,mem0,256,4,35.102,260,0
bench_snappy_compress,mem0,512,0,35.528,274,0
bench_snappy_compress,mem0,512,1,36.020,274,0
bench_snappy_compress,mem0,512,2,35.876,274,0
bench_snappy_compress,mem0,512,3,35.489,274,0
bench_snappy_compress,mem0,512,4,35.739,274,0
bench_snappy_compress,mem0,1024,0,36.858,298,0
bench_snappy_compress,mem0,1024,1,37.817,298,0
bench_snappy_compress,mem0,1024,2,37.335,298,0
bench_snappy_compress,mem0,1024,3,37.411,298,0
bench_snappy_compress,mem0,1024,4,37.801,298,0
bench_snappy_compress,mem0,2048,0,42.943,346,0
bench_snappy_compress,mem0,2048,1,43.025,346,0
bench_snappy_compress,mem0,2048,2,42.787,346,0
bench_snappy_compress,mem0,2048,3,43.701,346,0
bench_snappy_compress,mem0,2048,4,43.398,346,0
bench_snappy_compress,mem0,4096,0,53.858,442,0
bench_snappy_compress,mem0,4096,1,53.348,442,0
bench_snappy_compress,mem0,4096,2,53.175,442,0
bench_snappy_compress,mem0,4096,3,52.895,442,0
bench_snappy_compress,mem0,4096,4,52.925,442,0
bench_snappy_compress,mem0,8192,0,70.583,634,0
bench_snappy_compress,mem0,8192,1,70.393,634,0
bench_snappy_compress,mem0,8192,2,71.008,634,0
bench_snappy_compress,mem0,8192,3,70.145,634,0
bench_snappy_compress,mem0,8192,4,70.738,634,0
bench_snappy_compress,mem0,16384,0,114.363,1019,0
bench_snappy_compress,mem0,16384,1,107.292,1019,0
bench_snappy_compress,mem0,16384,2,107.056,1019,0
bench_snappy_compress,mem0,16384,3,107.104,1019,0
bench_snappy_compress,mem0,16384,4,107.063,1019,0
bench_snappy_compress,mem0,32768,0,153.104,1787,0
bench_snappy_compress,mem0,32768,1,153.555,1787,0
bench_snappy_compress,mem0,32768,2,153.955,1787,0
bench_snappy_compress,mem0,32768,3,154.139,1787,0
bench_snappy_compress,mem0,32768,4,153.620,1787,0
bench_snappy_compress,mem0,65536,0,256.669,3323,0
bench_snappy_compress,mem0,65536,1,250.695,3323,0
bench_snappy_compress,mem0,65536,2,253.865,3323,0
bench_snappy_compress,mem0,65536,3,252.074,3323,0
bench_snappy_compress,mem0,65536,4,254.793,3323,0
bench_snappy_compress,mem0,131072,0,462.491,6643,0
bench_snappy_compress,mem0,131072,1,462.459,6643,0
bench_snappy_compress,mem0,131072,2,462.016,6643,0
bench_snappy_compress,mem0,131072,3,463.344,6643,0
